来源,内容
 Introduction to Computer Science Ch3 Problem Set B ,"Consider an autocomplete implementation that sorts the list of potential terms and then performs binary search to find the matching terms. If the order of growth of the sorting algorithm is in O(N log N), what is the worst-case Big O order of growth for computing a single autocomplete query with respect to N, the number of potential terms?"
 Introduction to Computer Science Ch3 Problem Set B ,"Why might algorithm designers prefer to use binary search instead of sequential search for autocomplete?"
 Introduction to Computer Science Ch3 Problem Set B ,"In a 1-D space where each point is defined with x coordinates, a common problem is to find the closest pair of points in the space: the pair of points that has the least distance among all potential pairs of points. What is a brute-force algorithm for solving this 1-D closest pair problem? What is the Big O notation order of growth of this algorithm?"
 Introduction to Computer Science Ch3 Problem Set B ,"In a 2-D space, each point is defined with (x, y) coordinates. What is a brute-force algorithm for solving the 2-D closest pair problem?"
 Introduction to Computer Science Ch3 Problem Set B ,"What are the recursive subproblems in a divide and conquer algorithm for solving for the closest pair problem?"
 Introduction to Computer Science Ch3 Problem Set B ,"Digital images are represented in computers as a 2-D grid of colored pixels. In image editing, the flood fill problem takes a given starting pixel and replaces all the pixels in a contiguous region that share the same color with a different color. How can we represent the colored pixels in a digital image as a graph with vertices and edges for the flood fill problem?"
 Introduction to Computer Science Ch3 Problem Set B ,"How should we modify a graph traversal algorithm to solve the flood fill problem using your graph representation?"
 Introduction to Computer Science Ch3 Problem Set B ,"What is a reduction algorithm for reducing from the flood fill problem to the graph traversal problem? In this case, the graph traversal algorithm cannot be modified. Instead, define a preprocessing step to create a graph representation that encodes the flood fill same-color rule."
 Introduction to Computer Science Ch3 Practice Exercises ,"Binary search trees organize elements in ascending sorted order within the tree. However, binary search trees can become unbalanced. In the worst-case, a binary search tree can look exactly like a linked list. Give an order for inserting the following numbers into a binary search tree such that the resulting tree appears like a linked list: 7, 3, 8, 1, 2, 5, 6, 4."
 Introduction to Computer Science Ch3 Practice Exercises ,"Consider these two different approaches for implementing the priority queue abstract data type using a linked list data structure: (1) organize the elements by decreasing priority value, and (2) organize the elements arbitrarily. Describe algorithms for inserting an element as well as retrieving and removing the highest-priority element from these two data structures."
 Introduction to Computer Science Ch3 Practice Exercises ,"In our definition of a priority queue, we emphasized retrieval and removal of the highest-priority elements—a maximum priority queue. What if we wanted to instead prioritize retrieval and removal of the lowest-priority elements—a minimum priority queue? Describe a simple change that we could make to make any maximum priority queue function as a minimum priority queue."
 Introduction to Computer Science Ch3 Practice Exercises ,"Formally describe the problem model for a drug administration medical system in terms of input data and output data represented as lists, sets, maps, priority queues, and graphs."
